session,zone,state,lga,ward,school
2021/2022,North East,Bauchi,Toro,Mara / Palama,Buga Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Burku Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Daiya Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Dinya Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Doya Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Durje Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Galda Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Goskayi Nomadic Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Gwalfada Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Jange Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Jaugan Hardo Balam Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Jimfi Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Koseyel Nomadic Primary School
2021/2022,North East,Bauchi,Toro,Mara / Palama,Kulfana Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Daiya Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Dinya Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Doya Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Durje Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Galda Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Goskayi Nomadic Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Gwalfada Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Jange Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Jaugan Hardo Balam Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Jimfi Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Koseyel Nomadic Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Kulfana Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Kurin Daji Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Kwarinta Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Lukshi Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Magamagari Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Mara Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Matawai Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Mollega Nursery And Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Musab Bn Umar Academy
2022/2023,North East,Bauchi,Toro,Mara / Palama,Palama Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Polchin Kanawa Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Rawa Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Rumana Ube Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Sabon Garin Takandan Giwa Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Sagere Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Sukuye Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Tashan Durumi Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Toji Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Ultra Modern Academy
2022/2023,North East,Bauchi,Toro,Mara / Palama,Unguwan Waziri Central Primary School Gumau
2022/2023,North East,Bauchi,Toro,Mara / Palama,Unguwan/ Danbiram Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Yola Universal Basic Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Zangafira Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Zigau Dangara Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Zul Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Abubakar Maiyaki Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Babujaye Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Bakin Ruwa Primary
2022/2023,North East,Bauchi,Toro,Mara / Palama,Bargan Kanawa Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Buga Primary School
2022/2023,North East,Bauchi,Toro,Mara / Palama,Burku Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Unguwan Waziri Central Primary School Gumau
2023/2024,North East,Bauchi,Toro,Mara / Palama,Unguwan/ Danbiram Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Yola Universal Basic Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Zangafira Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Zigau Dangara Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Zul Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Abubakar Maiyaki Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Babujaye Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Bakin Ruwa Primary
2023/2024,North East,Bauchi,Toro,Mara / Palama,Bargan Kanawa Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Buga Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Burku Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Daiya Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Dinya Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Doya Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Durje Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Galda Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Goskayi Nomadic Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Gwalfada Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Jange Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Jaugan Hardo Balam Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Jimfi Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Koseyel Nomadic Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Kulfana Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Kurin Daji Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Kwarinta Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Lukshi Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Magamagari Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Mara Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Matawai Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Mollega Nursery And Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Musab Bn Umar Academy
2023/2024,North East,Bauchi,Toro,Mara / Palama,Palama Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Polchin Kanawa Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Rawa Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Rumana Ube Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Sabon Garin Takandan Giwa Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Sagere Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Sukuye Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Tashan Durumi Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Toji Primary School
2023/2024,North East,Bauchi,Toro,Mara / Palama,Ultra Modern Academy
2024/2025,North East,Bauchi,Toro,Mara / Palama,Mollega Nursery And Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Musab Bn Umar Academy
2024/2025,North East,Bauchi,Toro,Mara / Palama,Palama Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Polchin Kanawa Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Rawa Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Rumana Ube Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Sabon Garin Takandan Giwa Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Sagere Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Sukuye Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Tashan Durumi Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Toji Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Ultra Modern Academy
2024/2025,North East,Bauchi,Toro,Mara / Palama,Unguwan Waziri Central Primary School Gumau
2024/2025,North East,Bauchi,Toro,Mara / Palama,Unguwan/ Danbiram Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Yola Universal Basic Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Zangafira Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Zigau Dangara Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Zul Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Abubakar Maiyaki Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Babujaye Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Bakin Ruwa Primary
2024/2025,North East,Bauchi,Toro,Mara / Palama,Bargan Kanawa Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Buga Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Burku Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Daiya Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Dinya Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Doya Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Durje Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Galda Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Goskayi Nomadic Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Gwalfada Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Jange Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Jaugan Hardo Balam Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Jimfi Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Koseyel Nomadic Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Kulfana Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Kurin Daji Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Kwarinta Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Lukshi Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Magamagari Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Mara Primary School
2024/2025,North East,Bauchi,Toro,Mara / Palama,Matawai Primary School
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2019/2020,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2020/2021,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2021/2022,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2022/2023,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2023/2024,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Gumau
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Nabordo
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Sabon Garin Narabi
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Government Junior Secondary School Zirya
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Gada Biyu
2024/2025,North East,Bauchi,Toro,Mara / Palama,Upper Basic Junior Secondary School Unguwan Danbiram
2019/2020,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2019/2020,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2019/2020,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2019/2020,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2019/2020,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2020/2021,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2020/2021,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2020/2021,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2020/2021,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2020/2021,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2021/2022,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2021/2022,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2021/2022,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2021/2022,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2021/2022,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2022/2023,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2022/2023,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2022/2023,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2022/2023,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2022/2023,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2023/2024,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2023/2024,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2023/2024,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2023/2024,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2023/2024,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2024/2025,North East,Bauchi,Warji,Tiyin,Gabaya Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Hardo Gajan Nomadic Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Hardo Kwaine Nomadic Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Jagwadin Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Jahunawa Nomadic Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Kulumi Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Marasuwa Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Nural Anur Priary School
2024/2025,North East,Bauchi,Warji,Tiyin,Ummah Islamiyya School Warji
2024/2025,North East,Bauchi,Warji,Tiyin,Wuddadun Nabibi Iisiamiiya
2024/2025,North East,Bauchi,Warji,Tiyin,Yelwan Tsakuwa Nomadic Primary School
2024/2025,North East,Bauchi,Warji,Tiyin,Zurgwai Pramary School
2019/2020,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2019/2020,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2019/2020,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2019/2020,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2020/2021,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2020/2021,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2020/2021,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2020/2021,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2021/2022,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2021/2022,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2021/2022,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2021/2022,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2022/2023,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2022/2023,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2022/2023,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2022/2023,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2023/2024,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2023/2024,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2023/2024,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2023/2024,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2024/2025,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Bakwi
2024/2025,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Gawo
2024/2025,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lallan
2024/2025,North East,Bauchi,Warji,Tiyin,Government Junior Secondary School Lirnaa
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Balakum Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Bun Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Dogon Ruwa Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Fathul Bari
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Gaji Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Gigyara Nomadic Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Gub Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Gwalbaji Islamiya Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Jadan Mansur Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Jouro Gambo Nomadic
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Kaciciya Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Kende Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Kufa Sherolde Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Kwaimawa Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Lokka Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Maiarin Arewa Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Maimadi Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Mbalalim Primary School
2019/2020,North East,Bauchi,Alkaleri,Maimadi,Twara
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Maiarin Arewa Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Maimadi Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Mbalalim Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Twara
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Balakum Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Bun Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Dogon Ruwa Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Fathul Bari
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Gaji Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Gigyara Nomadic Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Gub Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Gwalbaji Islamiya Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Jadan Mansur Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Jouro Gambo Nomadic
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Kaciciya Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Kende Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Kufa Sherolde Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Kwaimawa Primary School
2020/2021,North East,Bauchi,Alkaleri,Maimadi,Lokka Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Kende Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Kufa Sherolde Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Kwaimawa Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Lokka Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Maiarin Arewa Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Maimadi Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Mbalalim Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Twara
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Balakum Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Bun Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Dogon Ruwa Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Fathul Bari
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Gaji Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Gigyara Nomadic Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Gub Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Gwalbaji Islamiya Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Jadan Mansur Primary School
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Jouro Gambo Nomadic
2021/2022,North East,Bauchi,Alkaleri,Maimadi,Kaciciya Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Gwalbaji Islamiya Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Jadan Mansur Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Jouro Gambo Nomadic
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Kaciciya Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Kende Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Kufa Sherolde Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Kwaimawa Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Lokka Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Maiarin Arewa Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Maimadi Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Mbalalim Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Twara
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Balakum Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Bun Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Dogon Ruwa Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Fathul Bari
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Gaji Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Gigyara Nomadic Primary School
2022/2023,North East,Bauchi,Alkaleri,Maimadi,Gub Primary School
