session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Arts / Humanities,Philosophy,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Arts / Humanities,Religious Studies,20,15,13
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Arts / Humanities,Religious Studies,16,12,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,International Relations,16,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,International Relations,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,International Relations,15,11,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,International Relations,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Sociology,17,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Sociology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Sociology,14,10,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Sociology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Political Science,13,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Political Science,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Political Science,13,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Political Science,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Psychology,14,11,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Psychology,14,11,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Criminology,17,15,12
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Criminology,2,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Criminology,14,12,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Criminology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Accounting,14,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Accounting,13,9,8
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,16,12,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,15,11,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,15,11,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,16,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,17,13,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,16,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Arts,Law,22,17,16
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Arts,Law,2,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Arts,Law,18,14,12
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Arts,Law,2,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,22,17,15
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Business / Administration / Law,Insurance,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,24,18,16
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Business / Administration / Law,Insurance,2,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Primary Education Studies,20,15,13
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Primary Education Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Primary Education Studies,16,12,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Primary Education Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Curriculum Studies,16,13,12
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Curriculum Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Curriculum Studies,13,11,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Curriculum Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,13,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Guidance and Counselling,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,14,10,8
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Guidance and Counselling,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Educational Technology,17,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Educational Technology,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Educational Technology,20,15,13
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Educational Technology,2,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Adult Education,13,11,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Adult Education,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Adult Education,16,14,12
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Adult Education,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Education,Educational Management,12,9,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Education,Educational Management,10,8,8
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Communication / Media,Public Relations,14,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Communication / Media,Public Relations,15,13,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Communication / Media,Development Communication,20,15,13
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Communication / Media,Development Communication,21,15,15
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,15,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Communication / Media,Broadcasting,17,14,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication,10,8,7
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication,12,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Languages,Igbo,14,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Languages,Igbo,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Languages,Igbo,13,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Languages,Igbo,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Languages,English Language,11,8,8
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Languages,English Language,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Languages,English Language,10,7,7
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Languages,English Language,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Languages,Hausa,16,12,11
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Languages,Hausa,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Languages,Hausa,15,11,10
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Languages,Hausa,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,Non-STEMM,Languages,Arabic Studies,12,10,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,Non-STEMM,Languages,Arabic Studies,1,1,1
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,Non-STEMM,Languages,Arabic Studies,14,11,9
2022/2023,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,Non-STEMM,Languages,Arabic Studies,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Physical Sciences,Microbiology,19,15,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Physical Sciences,Microbiology,20,16,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Science,Plant Science,23,20,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Science,Plant Science,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Science,Plant Science,24,20,19
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Science,Plant Science,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Science,Physics,15,13,11
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Science,Physics,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Science,Physics,14,12,11
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Science,Physics,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Biological Sciences,Biochemistry,18,16,14
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Biological Sciences,Biochemistry,17,14,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Science,Geology,23,19,18
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Science,Geology,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Science,Geology,24,20,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Science,Geology,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Science,Industrial Chemistry,22,17,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Science,Industrial Chemistry,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Science,Industrial Chemistry,21,16,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Science,Industrial Chemistry,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Technology / ICT,Information Systems,23,18,16
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Technology / ICT,Information Systems,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Technology / ICT,Information Systems,24,19,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Technology / ICT,Information Systems,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Technology / ICT,Cybersecurity,22,19,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Technology / ICT,Cybersecurity,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Technology / ICT,Cybersecurity,19,16,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Technology / ICT,Cybersecurity,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Technology / ICT,Data Science,27,21,19
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Technology / ICT,Data Science,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Technology / ICT,Data Science,20,16,14
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Technology / ICT,Data Science,2,2,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Technology / ICT,Software Engineering,23,17,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Technology / ICT,Software Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Technology / ICT,Software Engineering,23,18,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Technology / ICT,Software Engineering,2,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Mechatronics Engineering,22,18,17
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Mechatronics Engineering,2,2,2
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Mechatronics Engineering,25,20,19
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Mechatronics Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Chemical Engineering,17,14,12
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Chemical Engineering,17,14,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Petroleum Engineering,22,17,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Petroleum Engineering,20,16,14
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Civil Engineering,19,16,15
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Civil Engineering,17,14,14
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,14,11,10
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,16,13,11
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Engineering,Electrical Engineering,18,15,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Engineering,Electrical Engineering,16,13,13
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,17,13,12
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Disabled,STEMM,Mathematics / Statistics,Mathematics,2,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,14,10,10
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Female,Disabled,STEMM,Mathematics / Statistics,Mathematics,2,1,1
2023/2024,North West,Sokoto,Sokoto North,University,"Usmanu Danfodiyo University, Sokoto",Male,Non-Disabled,STEMM,Mathematics / Statistics,Statistics,18,13,11
