"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated","median_time_to_matriculation_years"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Ebonyi","South East","Ebonyi","","","","192","192","111","56","68","0","0","81","55","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Enugu","South East","Enugu","","","","384","384","205","111","122","0","0","179","95","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Imo","South East","Imo","","","","323","323","179","107","108","2","0","144","73","2","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Akwa Ibom","South South","Akwa Ibom","","","","230","230","127","80","87","0","0","103","47","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Bayelsa","South South","Bayelsa","","","","212","212","133","92","95","0","0","79","42","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Cross River","South South","Cross River","","","","267","267","169","96","100","0","0","98","73","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Delta","South South","Delta","","","","302","302","190","114","114","0","0","112","76","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Edo","South South","Edo","","","","188","188","106","65","65","0","0","82","42","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Rivers","South South","Rivers","","","","319","319","156","83","80","3","0","163","73","3","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Ekiti","South West","Ekiti","","","","139","139","74","48","48","0","0","65","26","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Lagos","South West","Lagos","","","","460","460","270","161","161","0","0","190","109","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Ogun","South West","Ogun","","","","266","266","172","114","114","0","0","94","58","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Ondo","South West","Ondo","","","","275","275","179","92","97","0","0","96","87","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Osun","South West","Osun","","","","261","261","160","100","100","0","0","101","60","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","Polytechnic","state","Oyo","South West","Oyo","","","","161","161","89","58","58","0","0","72","31","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Benue","North Central","Benue","","","","246","246","156","88","91","0","0","90","68","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","191","191","111","66","68","0","0","80","46","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Kogi","North Central","Kogi","","","","348","348","177","94","94","0","0","171","83","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Kwara","North Central","Kwara","","","","269","269","143","83","85","0","0","126","61","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Nasarawa","North Central","Nasarawa","","","","221","221","130","78","84","0","0","91","52","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Niger","North Central","Niger","","","","251","251","168","89","89","0","0","83","79","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Plateau","North Central","Plateau","","","","296","296","194","114","115","0","0","102","80","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Adamawa","North East","Adamawa","","","","306","306","192","44","48","0","0","114","152","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Bauchi","North East","Bauchi","","","","245","245","141","56","56","0","0","104","88","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Borno","North East","Borno","","","","268","268","148","84","84","0","0","120","65","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Gombe","North East","Gombe","","","","138","138","74","37","44","0","0","64","36","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Taraba","North East","Taraba","","","","151","151","87","21","21","0","0","64","68","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Yobe","North East","Yobe","","","","214","214","140","43","45","0","0","74","99","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Jigawa","North West","Jigawa","","","","256","256","177","74","78","0","0","79","103","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Kaduna","North West","Kaduna","","","","401","401","247","128","139","0","0","154","119","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Kano","North West","Kano","","","","376","376","213","114","112","3","0","163","99","3","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Katsina","North West","Katsina","","","","262","262","148","72","84","0","0","114","77","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Kebbi","North West","Kebbi","","","","281","281","148","86","97","0","0","133","62","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Sokoto","North West","Sokoto","","","","341","341","205","98","112","0","0","136","108","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Zamfara","North West","Zamfara","","","","217","217","142","79","84","0","0","75","63","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Abia","South East","Abia","","","","248","248","163","86","86","0","0","85","78","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Anambra","South East","Anambra","","","","269","269","165","84","84","0","0","104","82","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Ebonyi","South East","Ebonyi","","","","358","358","204","101","124","0","0","154","103","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Enugu","South East","Enugu","","","","214","214","112","61","68","0","0","102","51","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Imo","South East","Imo","","","","263","263","141","80","80","2","0","122","61","2","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Akwa Ibom","South South","Akwa Ibom","","","","277","277","172","91","97","0","0","105","81","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Bayelsa","South South","Bayelsa","","","","100","100","60","44","45","0","0","40","16","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Cross River","South South","Cross River","","","","196","196","129","68","70","0","0","67","61","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Delta","South South","Delta","","","","216","216","134","87","87","0","0","82","46","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Edo","South South","Edo","","","","290","290","163","110","110","0","0","127","54","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Rivers","South South","Rivers","","","","334","334","170","84","84","0","0","164","86","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Ekiti","South West","Ekiti","","","","234","234","123","76","76","0","0","111","47","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Lagos","South West","Lagos","","","","446","446","253","161","161","0","0","193","92","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Ogun","South West","Ogun","","","","201","201","123","78","78","0","0","78","46","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Ondo","South West","Ondo","","","","222","222","153","68","71","0","0","69","86","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Osun","South West","Osun","","","","238","238","142","100","100","0","0","96","42","0","1.5238268240993036"
"2021/2022","Female","disabled","NABTEB","University","state","Oyo","South West","Oyo","","","","293","293","167","93","94","0","0","126","74","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Benue","North Central","Benue","","","","431","428","277","102","118","0","3","151","175","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","494","491","290","127","128","0","3","201","162","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Kogi","North Central","Kogi","","","","420","419","228","90","100","0","1","191","138","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Kwara","North Central","Kwara","","","","328","328","184","67","75","0","0","144","117","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Nasarawa","North Central","Nasarawa","","","","392","392","241","86","88","0","0","151","155","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Niger","North Central","Niger","","","","473","472","306","107","107","1","1","166","199","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Plateau","North Central","Plateau","","","","385","385","268","98","99","0","0","117","170","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Adamawa","North East","Adamawa","","","","418","415","272","103","110","0","3","143","170","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Bauchi","North East","Bauchi","","","","479","479","268","100","120","0","0","211","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Borno","North East","Borno","","","","367","366","187","75","84","0","1","179","112","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Gombe","North East","Gombe","","","","381","381","213","88","88","0","0","168","125","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Taraba","North East","Taraba","","","","442","442","267","109","117","0","0","175","158","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Yobe","North East","Yobe","","","","336","336","224","92","96","0","0","112","132","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Jigawa","North West","Jigawa","","","","449","448","309","126","131","0","1","139","183","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Kaduna","North West","Kaduna","","","","567","562","381","138","151","0","5","181","243","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Kano","North West","Kano","","","","566","561","336","117","117","0","5","225","219","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Katsina","North West","Katsina","","","","502","502","264","107","121","0","0","238","157","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Kebbi","North West","Kebbi","","","","265","265","142","72","72","0","0","123","70","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Sokoto","North West","Sokoto","","","","378","378","231","93","100","0","0","147","138","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Zamfara","North West","Zamfara","","","","480","479","321","133","149","0","1","158","189","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Abia","South East","Abia","","","","516","514","354","138","152","0","2","160","216","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Anambra","South East","Anambra","","","","459","458","296","110","120","0","1","162","186","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Ebonyi","South East","Ebonyi","","","","193","193","111","44","44","0","0","82","67","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Enugu","South East","Enugu","","","","422","420","225","88","93","0","2","195","137","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Imo","South East","Imo","","","","418","417","233","88","88","0","1","184","145","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Akwa Ibom","South South","Akwa Ibom","","","","347","347","214","73","73","0","0","133","141","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Bayelsa","South South","Bayelsa","","","","462","462","315","112","112","0","0","147","203","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Cross River","South South","Cross River","","","","359","359","250","87","94","1","0","109","163","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Delta","South South","Delta","","","","356","355","227","94","105","0","1","128","133","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Edo","South South","Edo","","","","474","472","269","92","94","0","2","203","177","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Rivers","South South","Rivers","","","","451","447","252","106","109","0","4","195","146","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Ekiti","South West","Ekiti","","","","515","515","295","110","113","0","0","220","185","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Lagos","South West","Lagos","","","","446","440","274","105","107","0","6","166","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Ogun","South West","Ogun","","","","519","517","350","125","125","0","2","167","225","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Ondo","South West","Ondo","","","","361","361","246","84","92","0","0","115","162","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Osun","South West","Osun","","","","274","274","168","72","77","0","0","106","96","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","College of Education","state","Oyo","South West","Oyo","","","","571","571","345","129","129","0","0","226","215","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Benue","North Central","Benue","","","","427","426","280","104","118","0","1","146","176","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","438","437","266","91","95","0","1","171","176","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Kogi","North Central","Kogi","","","","416","414","227","85","92","0","2","187","142","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Kwara","North Central","Kwara","","","","468","466","261","106","114","0","2","205","155","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Nasarawa","North Central","Nasarawa","","","","337","337","204","76","76","0","0","133","128","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Niger","North Central","Niger","","","","371","370","242","99","97","3","1","128","143","3","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Plateau","North Central","Plateau","","","","391","390","264","94","95","0","1","126","170","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Adamawa","North East","Adamawa","","","","428","424","272","102","110","0","4","152","172","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Bauchi","North East","Bauchi","","","","245","245","140","65","78","0","0","105","76","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Borno","North East","Borno","","","","408","408","230","79","90","0","0","178","151","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Gombe","North East","Gombe","","","","353","353","197","83","84","0","0","156","114","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Taraba","North East","Taraba","","","","431","430","269","98","107","0","1","161","171","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Yobe","North East","Yobe","","","","371","371","258","99","108","0","0","113","159","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Jigawa","North West","Jigawa","","","","392","392","264","92","96","0","0","128","172","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Kaduna","North West","Kaduna","","","","216","215","136","54","61","0","1","79","82","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Kano","North West","Kano","","","","471","470","265","95","95","0","1","205","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Katsina","North West","Katsina","","","","439","437","236","80","91","0","2","201","156","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Kebbi","North West","Kebbi","","","","334","334","183","68","68","0","0","151","115","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Sokoto","North West","Sokoto","","","","304","303","188","77","81","0","1","115","111","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Zamfara","North West","Zamfara","","","","389","389","264","83","95","0","0","125","182","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Abia","South East","Abia","","","","360","359","260","91","99","0","1","99","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Anambra","South East","Anambra","","","","318","318","211","62","62","0","0","107","148","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Ebonyi","South East","Ebonyi","","","","318","317","187","76","76","0","1","130","111","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Enugu","South East","Enugu","","","","614","612","332","130","137","0","2","280","202","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Imo","South East","Imo","","","","491","490","286","119","119","0","1","204","167","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Akwa Ibom","South South","Akwa Ibom","","","","322","321","199","78","78","0","1","122","121","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Bayelsa","South South","Bayelsa","","","","329","329","223","87","88","0","0","106","136","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Cross River","South South","Cross River","","","","399","399","280","106","110","0","0","119","173","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Delta","South South","Delta","","","","548","546","342","120","126","0","2","204","222","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Edo","South South","Edo","","","","291","290","173","64","68","0","1","117","109","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Rivers","South South","Rivers","","","","521","519","284","99","99","0","2","235","185","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Ekiti","South West","Ekiti","","","","220","220","122","47","52","0","0","98","76","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Lagos","South West","Lagos","","","","792","781","490","159","165","0","11","291","331","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Ogun","South West","Ogun","","","","406","404","282","96","97","0","2","122","185","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Ondo","South West","Ondo","","","","428","428","294","92","97","0","0","134","202","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Osun","South West","Osun","","","","434","434","285","88","98","0","0","149","197","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","Polytechnic","state","Oyo","South West","Oyo","","","","273","272","159","59","59","0","1","113","100","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Benue","North Central","Benue","","","","376","376","248","91","105","0","0","128","158","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","280","280","164","66","69","0","0","116","98","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Kogi","North Central","Kogi","","","","562","558","305","115","120","0","4","253","190","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Kwara","North Central","Kwara","","","","408","406","224","77","84","0","2","182","147","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Nasarawa","North Central","Nasarawa","","","","335","335","204","84","84","0","0","131","120","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Niger","North Central","Niger","","","","404","403","272","96","100","1","1","131","176","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Plateau","North Central","Plateau","","","","499","498","342","119","120","0","1","156","223","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Adamawa","North East","Adamawa","","","","487","485","313","118","125","0","2","172","195","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Bauchi","North East","Bauchi","","","","401","401","228","60","72","0","0","173","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Borno","North East","Borno","","","","408","408","215","81","95","0","0","193","134","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Gombe","North East","Gombe","","","","230","230","125","54","54","0","0","105","71","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Taraba","North East","Taraba","","","","238","238","147","60","64","1","0","91","87","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Yobe","North East","Yobe","","","","303","303","203","87","96","0","0","100","116","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Jigawa","North West","Jigawa","","","","394","392","267","105","109","0","2","125","162","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Kaduna","North West","Kaduna","","","","637","633","411","150","165","0","4","222","261","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Kano","North West","Kano","","","","608","603","351","124","124","0","5","252","227","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Katsina","North West","Katsina","","","","428","425","228","92","101","1","3","197","136","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Kebbi","North West","Kebbi","","","","464","464","269","96","96","0","0","195","173","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Sokoto","North West","Sokoto","","","","540","539","323","129","135","0","1","216","194","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Zamfara","North West","Zamfara","","","","317","317","208","87","101","0","0","109","122","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Abia","South East","Abia","","","","403","402","275","96","106","0","1","127","179","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Anambra","South East","Anambra","","","","416","416","271","91","95","0","0","145","180","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Ebonyi","South East","Ebonyi","","","","571","571","332","128","128","0","0","239","204","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Enugu","South East","Enugu","","","","342","341","190","71","72","0","1","151","118","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Imo","South East","Imo","","","","435","433","252","99","101","0","2","181","153","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Akwa Ibom","South South","Akwa Ibom","","","","458","457","281","89","89","0","1","176","192","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Bayelsa","South South","Bayelsa","","","","161","161","115","44","44","0","0","46","71","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Cross River","South South","Cross River","","","","308","308","209","69","72","0","0","99","140","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Delta","South South","Delta","","","","371","371","242","85","88","0","0","129","157","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Edo","South South","Edo","","","","457","457","267","91","92","0","0","190","176","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Rivers","South South","Rivers","","","","495","491","270","108","109","0","4","221","162","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Ekiti","South West","Ekiti","","","","363","363","204","78","86","0","0","159","126","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Lagos","South West","Lagos","","","","661","655","399","140","142","1","6","256","259","1","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Ogun","South West","Ogun","","","","280","279","190","77","78","0","1","89","113","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Ondo","South West","Ondo","","","","361","361","249","80","86","0","0","112","169","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Osun","South West","Osun","","","","387","387","248","84","95","0","0","139","164","0","1.5238268240993036"
"2021/2022","Female","disabled","NECO","University","state","Oyo","South West","Oyo","","","","496","494","284","112","112","0","2","210","173","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Benue","North Central","Benue","","","","560","553","355","129","137","0","7","198","227","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Abuja Federal Capital Territory","North Central","Abuja Federal Capital Territory","","","","665","659","379","134","140","0","6","280","245","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Kogi","North Central","Kogi","","","","577","569","308","98","100","0","8","261","211","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Kwara","North Central","Kwara","","","","438","434","242","83","83","0","4","192","159","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Nasarawa","North Central","Nasarawa","","","","514","509","317","98","102","6","5","192","219","6","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Niger","North Central","Niger","","","","637","630","419","129","139","0","7","211","291","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Plateau","North Central","Plateau","","","","503","501","348","90","100","0","2","153","257","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Adamawa","North East","Adamawa","","","","562","557","354","113","115","0","5","203","241","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Bauchi","North East","Bauchi","","","","638","635","368","118","125","0","3","267","251","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Borno","North East","Borno","","","","475","471","251","77","78","0","4","220","174","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Gombe","North East","Gombe","","","","506","505","291","87","91","0","1","214","204","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Taraba","North East","Taraba","","","","584","581","363","122","126","0","3","218","241","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Yobe","North East","Yobe","","","","436","434","303","112","130","0","2","131","191","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Jigawa","North West","Jigawa","","","","577","570","400","145","152","0","7","170","255","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Kaduna","North West","Kaduna","","","","760","751","488","178","198","0","9","263","310","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Kano","North West","Kano","","","","748","740","433","130","133","0","8","307","303","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Katsina","North West","Katsina","","","","661","655","356","116","119","0","6","299","240","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Kebbi","North West","Kebbi","","","","340","340","192","66","73","0","0","148","126","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Sokoto","North West","Sokoto","","","","494","492","302","104","117","0","2","190","198","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Zamfara","North West","Zamfara","","","","657","650","443","155","165","0","7","207","289","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Abia","South East","Abia","","","","669","661","452","151","146","5","8","209","301","5","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Anambra","South East","Anambra","","","","615","609","401","127","134","3","6","208","274","3","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Ebonyi","South East","Ebonyi","","","","261","261","145","44","44","0","0","116","100","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Enugu","South East","Enugu","","","","560","553","300","95","95","0","7","253","205","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Imo","South East","Imo","","","","578","571","324","91","103","0","7","247","234","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Akwa Ibom","South South","Akwa Ibom","","","","468","465","289","77","87","0","3","176","212","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Bayelsa","South South","Bayelsa","","","","613","613","412","140","140","0","0","201","272","0","1.5238268240993036"
"2021/2022","Female","disabled","WAEC","College of Education","state","Cross River","South South","Cross River","","","","476","475","333","114","112","3","1","142","219","3","1.5238268240993036"
