session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Bauchi,North East,Bauchi,,,,0,206,117,54,55,0,0,89,63,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Borno,North East,Borno,,,,0,328,193,80,83,5,0,135,113,5,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Gombe,North East,Gombe,,,,0,327,187,80,84,4,0,140,107,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Taraba,North East,Taraba,,,,0,376,248,102,101,6,0,128,146,6,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Yobe,North East,Yobe,,,,0,346,244,120,97,25,0,102,124,25,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,316,227,84,77,13,0,89,143,13,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,199,138,61,64,0,0,61,77,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Kano,North West,Kano,,,,0,392,237,104,90,15,0,155,133,15,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,386,222,77,85,0,0,164,145,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,306,178,72,76,0,0,128,106,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,261,183,70,58,14,0,78,113,14,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,351,245,96,102,0,0,106,149,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Abia,South East,Abia,,,,0,288,205,81,84,1,0,83,124,1,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,303,212,68,64,4,0,91,144,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,252,162,56,62,0,0,90,106,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,466,264,104,96,8,0,202,160,8,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Imo,South East,Imo,,,,0,387,225,110,107,4,0,162,115,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,318,214,81,81,4,0,104,133,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,288,213,84,80,4,0,75,129,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,348,263,95,96,3,0,85,168,3,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Delta,South South,Delta,,,,0,413,279,112,110,4,0,134,167,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Edo,South South,Edo,,,,0,258,157,70,75,0,0,101,87,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,421,233,76,80,0,0,188,157,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,187,110,45,50,0,0,77,65,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,708,446,178,161,18,0,262,268,18,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,342,244,106,109,1,0,98,138,1,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,379,285,96,92,4,0,94,189,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Osun,South West,Osun,,,,0,347,243,93,101,3,0,104,150,3,1.5
2022/2023,Female,all,NABTEB,3-5-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,239,152,59,60,4,0,87,93,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Benue,North Central,Benue,,,,0,327,231,94,93,4,0,96,137,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,273,174,75,72,5,0,99,99,5,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Kogi,North Central,Kogi,,,,0,426,241,93,93,2,0,185,148,2,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Kwara,North Central,Kwara,,,,0,363,211,86,90,3,0,152,125,3,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,312,189,76,78,5,0,123,113,5,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Niger,North Central,Niger,,,,0,340,237,112,94,25,0,103,125,25,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Plateau,North Central,Plateau,,,,0,409,296,112,105,11,0,113,184,11,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Adamawa,North East,Adamawa,,,,0,394,261,112,89,30,0,133,151,30,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Bauchi,North East,Bauchi,,,,0,332,191,90,79,12,0,141,101,12,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Borno,North East,Borno,,,,0,347,193,86,81,11,0,154,108,11,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Gombe,North East,Gombe,,,,0,223,126,52,51,4,0,97,74,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Taraba,North East,Taraba,,,,0,204,136,48,46,6,0,68,88,6,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Yobe,North East,Yobe,,,,0,264,186,85,79,8,0,78,104,8,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Jigawa,North West,Jigawa,,,,0,333,231,78,63,18,0,102,153,18,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Kaduna,North West,Kaduna,,,,0,600,413,181,184,8,0,187,232,8,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Kano,North West,Kano,,,,0,498,308,139,135,8,0,190,169,8,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Katsina,North West,Katsina,,,,0,356,205,90,90,7,0,151,115,7,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Kebbi,North West,Kebbi,,,,0,412,243,92,94,0,0,169,151,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Sokoto,North West,Sokoto,,,,0,468,309,132,115,21,0,159,177,21,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Zamfara,North West,Zamfara,,,,0,285,202,102,103,0,0,83,100,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Abia,South East,Abia,,,,0,336,245,87,86,4,0,91,158,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Anambra,South East,Anambra,,,,0,387,267,84,84,0,0,120,183,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Ebonyi,South East,Ebonyi,,,,0,501,299,103,115,3,0,202,196,3,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Enugu,South East,Enugu,,,,0,259,142,60,56,4,0,117,82,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Imo,South East,Imo,,,,0,333,193,82,81,2,0,140,111,2,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Akwa Ibom,South South,Akwa Ibom,,,,0,366,243,88,97,0,0,123,156,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Bayelsa,South South,Bayelsa,,,,0,131,94,44,44,0,0,37,50,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Cross River,South South,Cross River,,,,0,283,209,66,68,0,0,74,143,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Delta,South South,Delta,,,,0,304,206,81,85,0,0,98,125,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Edo,South South,Edo,,,,0,432,266,112,106,9,0,166,154,9,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Rivers,South South,Rivers,,,,0,365,211,81,84,0,0,154,130,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Ekiti,South West,Ekiti,,,,0,299,172,75,82,1,0,127,97,1,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Lagos,South West,Lagos,,,,0,609,411,159,161,0,0,198,252,0,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Ogun,South West,Ogun,,,,0,279,192,82,82,4,0,87,110,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Ondo,South West,Ondo,,,,0,321,238,72,68,4,0,83,166,4,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Osun,South West,Osun,,,,0,329,222,90,94,5,0,107,132,5,1.5
2022/2023,Female,all,NABTEB,3-5-year,University,state,Oyo,South West,Oyo,,,,0,443,272,103,110,0,0,171,169,0,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Benue,North Central,Benue,,,,0,204,139,39,27,13,0,65,103,13,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,249,171,32,12,22,0,78,139,22,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Kogi,North Central,Kogi,,,,0,191,105,15,5,10,0,86,90,10,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Kwara,North Central,Kwara,,,,0,165,99,30,14,16,0,66,69,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Nasarawa,North Central,Nasarawa,,,,0,188,119,45,26,24,0,69,74,24,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Niger,North Central,Niger,,,,0,234,173,57,14,44,0,61,116,44,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Plateau,North Central,Plateau,,,,0,165,124,55,14,42,0,41,69,42,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Adamawa,North East,Adamawa,,,,0,188,126,7,0,7,0,62,119,7,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Bauchi,North East,Bauchi,,,,0,241,153,36,12,24,0,88,117,24,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Borno,North East,Borno,,,,0,171,89,26,5,21,0,82,64,21,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Gombe,North East,Gombe,,,,0,198,115,24,8,16,0,83,91,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Taraba,North East,Taraba,,,,0,236,159,36,6,30,0,77,123,30,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Yobe,North East,Yobe,,,,0,166,118,21,6,15,0,48,97,15,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,219,157,53,21,35,0,62,104,35,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,262,187,29,16,15,0,77,158,15,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Kano,North West,Kano,,,,0,282,164,14,7,7,0,118,150,7,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Katsina,North West,Katsina,,,,0,227,133,38,0,38,0,94,95,38,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,142,92,24,12,12,0,50,69,12,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,198,129,28,0,28,0,69,101,28,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,249,164,42,13,30,0,85,122,30,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Abia,South East,Abia,,,,0,213,158,40,14,26,0,57,118,26,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Anambra,South East,Anambra,,,,0,237,160,60,36,24,0,78,100,24,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Ebonyi,South East,Ebonyi,,,,0,95,51,23,8,16,0,44,28,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Enugu,South East,Enugu,,,,0,174,102,32,4,28,0,72,70,28,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Imo,South East,Imo,,,,0,189,102,36,8,28,0,87,68,28,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Akwa Ibom,South South,Akwa Ibom,,,,0,176,116,36,20,16,0,60,80,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Bayelsa,South South,Bayelsa,,,,0,215,150,48,16,32,0,65,102,32,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Cross River,South South,Cross River,,,,0,166,119,47,32,16,0,47,73,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Delta,South South,Delta,,,,0,166,115,24,5,19,0,51,91,19,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Edo,South South,Edo,,,,0,219,133,48,20,30,0,86,85,30,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Rivers,South South,Rivers,,,,0,209,121,40,24,16,0,88,81,16,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Ekiti,South West,Ekiti,,,,0,219,134,49,19,32,0,85,85,32,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Lagos,South West,Lagos,,,,0,206,125,42,21,21,0,81,83,21,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Ogun,South West,Ogun,,,,0,278,192,49,39,11,0,86,143,11,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Ondo,South West,Ondo,,,,0,183,132,44,16,28,0,51,88,28,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Osun,South West,Osun,,,,0,140,96,31,18,14,0,45,65,14,1.5
2022/2023,Female,all,NABTEB,5+-year,College of Education,state,Oyo,South West,Oyo,,,,0,301,189,84,45,41,0,112,106,41,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Benue,North Central,Benue,,,,0,219,149,54,6,49,0,71,97,49,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,219,135,46,6,41,0,84,89,41,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Kogi,North Central,Kogi,,,,0,177,95,20,0,20,0,82,77,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Kwara,North Central,Kwara,,,,0,246,138,34,10,25,0,108,104,25,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Nasarawa,North Central,Nasarawa,,,,0,155,94,36,18,20,0,61,58,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Niger,North Central,Niger,,,,0,189,136,37,6,31,0,53,99,31,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Plateau,North Central,Plateau,,,,0,180,127,47,24,23,0,53,80,23,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Adamawa,North East,Adamawa,,,,0,164,112,16,0,16,0,52,97,16,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Bauchi,North East,Bauchi,,,,0,104,57,6,0,6,0,47,51,6,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Borno,North East,Borno,,,,0,181,99,35,5,30,0,82,64,30,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Gombe,North East,Gombe,,,,0,168,107,20,5,16,0,61,87,16,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Taraba,North East,Taraba,,,,0,203,129,30,0,30,0,74,99,30,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Yobe,North East,Yobe,,,,0,197,131,14,7,7,0,66,117,7,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Jigawa,North West,Jigawa,,,,0,210,149,20,7,14,0,62,129,14,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Kaduna,North West,Kaduna,,,,0,115,76,22,0,22,0,39,54,22,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Kano,North West,Kano,,,,0,207,132,16,0,16,0,75,116,16,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Katsina,North West,Katsina,,,,0,195,114,32,15,17,0,82,82,17,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Kebbi,North West,Kebbi,,,,0,161,98,24,4,20,0,63,74,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Sokoto,North West,Sokoto,,,,0,141,93,21,7,14,0,49,72,14,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Zamfara,North West,Zamfara,,,,0,177,139,42,31,12,0,40,97,12,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Abia,South East,Abia,,,,0,156,108,48,19,30,0,49,60,30,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Anambra,South East,Anambra,,,,0,168,111,40,32,8,0,57,71,8,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Ebonyi,South East,Ebonyi,,,,0,138,79,28,7,21,0,59,52,21,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Enugu,South East,Enugu,,,,0,255,147,44,16,28,0,108,103,28,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Imo,South East,Imo,,,,0,213,120,39,14,25,0,93,81,25,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Akwa Ibom,South South,Akwa Ibom,,,,0,178,110,40,21,20,0,68,70,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Bayelsa,South South,Bayelsa,,,,0,163,106,48,12,36,0,57,60,36,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Cross River,South South,Cross River,,,,0,211,141,45,28,18,0,71,96,18,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Delta,South South,Delta,,,,0,240,165,67,30,37,0,75,98,37,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Edo,South South,Edo,,,,0,130,86,20,0,20,0,45,66,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Rivers,South South,Rivers,,,,0,233,132,44,24,20,0,101,88,20,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Ekiti,South West,Ekiti,,,,0,116,66,22,8,15,0,50,44,15,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Lagos,South West,Lagos,,,,0,368,255,97,49,49,0,114,158,49,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Ogun,South West,Ogun,,,,0,179,124,40,5,35,0,55,86,35,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Ondo,South West,Ondo,,,,0,219,165,56,32,24,0,54,109,24,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Osun,South West,Osun,,,,0,205,132,42,20,26,0,73,90,26,1.5
2022/2023,Female,all,NABTEB,5+-year,Polytechnic,state,Oyo,South West,Oyo,,,,0,130,81,23,15,9,0,49,58,9,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Benue,North Central,Benue,,,,0,183,120,44,5,39,0,63,78,39,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,178,113,30,6,24,0,66,83,24,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Kogi,North Central,Kogi,,,,0,264,140,40,9,31,0,124,100,31,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Kwara,North Central,Kwara,,,,0,195,114,35,14,22,0,81,79,22,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Nasarawa,North Central,Nasarawa,,,,0,174,111,38,20,22,0,63,73,22,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Niger,North Central,Niger,,,,0,180,123,19,12,7,0,57,104,7,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Plateau,North Central,Plateau,,,,0,217,165,69,29,42,0,52,96,42,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Adamawa,North East,Adamawa,,,,0,197,145,22,8,15,0,52,124,15,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Bauchi,North East,Bauchi,,,,0,182,117,18,0,18,0,66,99,18,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Borno,North East,Borno,,,,0,188,106,35,23,15,0,82,71,15,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Gombe,North East,Gombe,,,,0,119,66,20,0,20,0,53,46,20,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Taraba,North East,Taraba,,,,0,113,73,6,0,6,0,40,67,6,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Yobe,North East,Yobe,,,,0,149,98,18,6,12,0,52,83,12,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Jigawa,North West,Jigawa,,,,0,183,122,13,0,13,0,61,109,13,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Kaduna,North West,Kaduna,,,,0,332,227,73,32,44,0,105,154,44,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Kano,North West,Kano,,,,0,289,166,21,8,14,0,123,145,14,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Katsina,North West,Katsina,,,,0,199,109,26,11,16,0,90,83,16,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Kebbi,North West,Kebbi,,,,0,223,121,24,8,16,0,102,97,16,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Sokoto,North West,Sokoto,,,,0,270,175,42,7,35,0,96,133,35,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Zamfara,North West,Zamfara,,,,0,159,103,6,6,0,0,56,97,0,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Abia,South East,Abia,,,,0,162,106,27,18,10,0,57,79,10,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Anambra,South East,Anambra,,,,0,213,144,60,28,32,0,69,85,32,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Ebonyi,South East,Ebonyi,,,,0,257,150,34,13,22,0,107,116,22,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Enugu,South East,Enugu,,,,0,168,95,32,20,12,0,73,63,12,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Imo,South East,Imo,,,,0,180,108,46,10,36,0,72,62,36,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Akwa Ibom,South South,Akwa Ibom,,,,0,237,157,72,25,48,0,80,85,48,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Bayelsa,South South,Bayelsa,,,,0,72,57,16,0,16,0,16,41,16,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Cross River,South South,Cross River,,,,0,145,97,38,16,23,0,50,60,23,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Delta,South South,Delta,,,,0,143,109,33,10,23,0,34,76,23,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Edo,South South,Edo,,,,0,220,139,55,10,45,0,81,84,45,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Rivers,South South,Rivers,,,,0,215,114,32,16,16,0,101,82,16,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Ekiti,South West,Ekiti,,,,0,177,101,39,24,19,0,76,62,19,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Lagos,South West,Lagos,,,,0,317,205,63,21,42,0,112,144,42,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Ogun,South West,Ogun,,,,0,149,108,27,5,22,0,43,81,22,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Ondo,South West,Ondo,,,,0,169,124,40,20,20,0,45,84,20,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Osun,South West,Osun,,,,0,182,132,53,35,21,0,51,79,21,1.5
2022/2023,Female,all,NABTEB,5+-year,University,state,Oyo,South West,Oyo,,,,0,245,145,43,20,24,0,100,102,24,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Benue,North Central,Benue,,,,0,1597,1105,392,377,29,0,492,713,29,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Abuja Federal Capital Territory,North Central,Abuja Federal Capital Territory,,,,0,2044,1266,432,357,75,0,778,834,75,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Kogi,North Central,Kogi,,,,0,1586,901,333,288,46,0,685,568,46,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Kwara,North Central,Kwara,,,,0,1393,812,306,254,56,0,581,506,56,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Nasarawa,North Central,Nasarawa,,,,0,1564,1027,398,362,40,0,537,629,40,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Niger,North Central,Niger,,,,0,1954,1384,462,398,65,0,570,922,65,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Plateau,North Central,Plateau,,,,0,1377,1000,351,328,32,0,377,649,32,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Adamawa,North East,Adamawa,,,,0,1521,1016,394,350,54,0,505,622,51,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Bauchi,North East,Bauchi,,,,0,1865,1143,376,349,45,0,722,767,45,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Borno,North East,Borno,,,,0,1327,747,248,232,26,0,580,499,26,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Gombe,North East,Gombe,,,,0,1714,1010,383,363,35,0,704,627,35,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Taraba,North East,Taraba,,,,0,1868,1208,458,395,67,0,660,750,67,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Yobe,North East,Yobe,,,,0,1318,932,321,296,31,0,386,611,31,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Jigawa,North West,Jigawa,,,,0,1711,1234,477,408,75,0,477,757,75,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Kaduna,North West,Kaduna,,,,0,2254,1531,538,493,60,0,723,993,60,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Kano,North West,Kano,,,,0,2176,1314,450,391,63,0,862,864,63,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Katsina,North West,Katsina,,,,0,1858,1069,378,342,45,0,789,691,45,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Kebbi,North West,Kebbi,,,,0,1181,697,263,241,24,0,484,434,24,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Sokoto,North West,Sokoto,,,,0,1630,1068,405,397,33,0,562,663,33,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Zamfara,North West,Zamfara,,,,0,2014,1424,508,462,57,0,590,916,57,1.5
2022/2023,Female,all,NECO,1-year,College of Education,state,Abia,South East,Abia,,,,0,1869,1335,507,464,55,0,534,828,55,1.5
