session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2023/2024,North West,Katsina,Katsina,University,Other University Admissions - Katsina 2,Male,disabled,Non-STEMM,ART,Linguistics,136,124
2023/2024,North West,Katsina,Katsina,University,Other University Admissions - Katsina 2,Male,disabled,STEMM,Medicine / Health Sciences,Radiography,3,4
2023/2024,North West,Kebbi,Argungu,Polytechnic,Other Polytechnic Admissions - Kebbi 1,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,63,59
2023/2024,North West,Kebbi,Birnin Kebbi,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,5,5
2023/2024,North West,Kebbi,Birnin Kebbi,University,Other University Admissions - Kebbi 1,Female,disabled,Non-STEMM,Social Sciences,Insurance,436,400
2023/2024,North West,Kebbi,Birnin Kebbi,University,Other University Admissions - Kebbi 1,Female,disabled,STEMM,Agriculture,Animal Science,22,18
2023/2024,North West,Kebbi,Yauri,College of Education,Other Small Institution Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,13,14
2023/2024,North West,Kebbi,Argungu,Polytechnic,Other Polytechnic Admissions - Kebbi 1,Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,64,59
2023/2024,North West,Kebbi,Birnin Kebbi,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,7,6
2023/2024,North West,Kebbi,Birnin Kebbi,University,Other University Admissions - Kebbi 1,Male,disabled,Non-STEMM,Social Sciences,Insurance,599,553
2023/2024,North West,Kebbi,Birnin Kebbi,University,Other University Admissions - Kebbi 1,Male,disabled,STEMM,Agriculture,Animal Science,45,39
2023/2024,North West,Kebbi,Yauri,College of Education,Other Small Institution Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,32,33
2023/2024,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2023/2024,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,disabled,Non-STEMM,ART,Theology,4,3
2023/2024,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,disabled,Non-STEMM,Education,Social Studies Education,14,12
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Engineering,Electrical and Electronics Engineering,7,6
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,26,24
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Engineering,Electrical and Electronics Engineering,7,6
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,26,24
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Engineering,Electrical and Electronics Engineering,7,6
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,26,24
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Engineering,Electrical and Electronics Engineering,7,6
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,26,24
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Okene,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2023/2024,North Central,Kogi,Okene,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,1,1
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Female,disabled,STEMM,Computing / ICT,Software Engineering,29,26
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,3,3
2023/2024,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,1
2023/2024,North Central,Kogi,Ankpa,School of Health,Other School of Health Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2023/2024,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,disabled,Non-STEMM,ART,Theology,3,3
2023/2024,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,disabled,Non-STEMM,Education,Social Studies Education,12,11
2023/2024,North Central,Kogi,Kabba/Bunu,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,Non-STEMM,Social Sciences,Insurance,6,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Engineering,Electrical and Electronics Engineering,11,10
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,20,18
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,Non-STEMM,Social Sciences,Insurance,6,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Engineering,Electrical and Electronics Engineering,11,10
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,20,18
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Engineering,Electrical and Electronics Engineering,11,10
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,20,18
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,disabled,Non-STEMM,Social Sciences,Insurance,5,5
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,disabled,STEMM,Engineering,Electrical and Electronics Engineering,10,9
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,20,18
2023/2024,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Kogi,Okene,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,2,1
2023/2024,North Central,Kogi,Okene,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,2,1
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Male,disabled,STEMM,Computing / ICT,Software Engineering,43,39
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,1
2023/2024,North Central,Kogi,Okene,Polytechnic,Other Polytechnic Admissions - Kogi 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,4,4
2023/2024,North Central,Kwara,Edu,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,3,3
2023/2024,North Central,Kwara,Edu,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,3,2
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Female,disabled,Non-STEMM,Social Sciences,Entrepreneurship,46,43
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Female,disabled,STEMM,Agriculture,Animal Science,13,12
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Kwara,Offa,College of Education,Other College of Education Admissions - Kwara 1,Female,disabled,Non-STEMM,Education,Guidance and Counselling,52,48
2023/2024,North Central,Kwara,Offa,College of Education,Other College of Education Admissions - Kwara 1,Female,disabled,Non-STEMM,Education,Mathematics Education,17,15
2023/2024,North Central,Kwara,Offa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,1,0
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Female,disabled,Non-STEMM,Social Sciences,Accountancy/Accounting,172,159
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Female,disabled,Non-STEMM,Social Sciences,Public Administration,80,74
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,North Central,Kwara,Edu,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,3,3
2023/2024,North Central,Kwara,Edu,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,3,3
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Male,disabled,Non-STEMM,Social Sciences,Entrepreneurship,56,51
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Male,disabled,STEMM,Agriculture,Animal Science,20,18
2023/2024,North Central,Kwara,Ilorin West,Polytechnic,Other Polytechnic Admissions - Kwara 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2023/2024,North Central,Kwara,Offa,College of Education,Other College of Education Admissions - Kwara 1,Male,disabled,Non-STEMM,Education,Guidance and Counselling,53,49
2023/2024,North Central,Kwara,Offa,College of Education,Other College of Education Admissions - Kwara 1,Male,disabled,Non-STEMM,Education,Mathematics Education,17,16
2023/2024,North Central,Kwara,Offa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Male,disabled,Non-STEMM,Social Sciences,Accountancy/Accounting,207,193
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Male,disabled,Non-STEMM,Social Sciences,Public Administration,97,91
2023/2024,North Central,Kwara,Offa,University,"University of Ilorin, Ilorin, Kwara State",Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,South West,Lagos,Ikeja,Polytechnic,Other Polytechnic Admissions - Lagos 1,Female,disabled,STEMM,Engineering,Chemical Engineering,207,190
2023/2024,South West,Lagos,Ikeja,Polytechnic,Other Polytechnic Admissions - Lagos 1,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,50,47
2023/2024,South West,Lagos,Kosofe,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,11,11
2023/2024,South West,Lagos,Kosofe,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,7,7
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 1,Female,disabled,STEMM,Engineering,Civil Engineering,453,416
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,14,14
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 2,Female,disabled,STEMM,Engineering,Civil Engineering,453,416
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 2,Female,disabled,STEMM,Mathematics / Statistics,Statistics,14,14
2023/2024,South West,Lagos,Surulere,College of Education,Other College of Education Admissions - Lagos 1,Female,disabled,Non-STEMM,Education,Social Studies Education,196,179
2023/2024,South West,Lagos,Surulere,College of Education,Other College of Education Admissions - Lagos 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,43,39
2023/2024,South West,Lagos,Surulere,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,3,4
2023/2024,South West,Lagos,Ikeja,Polytechnic,Other Polytechnic Admissions - Lagos 1,Male,disabled,STEMM,Engineering,Chemical Engineering,231,214
2023/2024,South West,Lagos,Ikeja,Polytechnic,Other Polytechnic Admissions - Lagos 1,Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,29,26
2023/2024,South West,Lagos,Kosofe,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,11,12
2023/2024,South West,Lagos,Kosofe,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,9,9
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 1,Male,disabled,STEMM,Engineering,Civil Engineering,505,465
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,17,14
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 2,Male,disabled,STEMM,Engineering,Civil Engineering,502,462
2023/2024,South West,Lagos,Lagos Island,University,Other University Admissions - Lagos 2,Male,disabled,STEMM,Mathematics / Statistics,Statistics,14,12
2023/2024,South West,Lagos,Surulere,College of Education,Other College of Education Admissions - Lagos 1,Male,disabled,Non-STEMM,Education,Social Studies Education,129,118
2023/2024,South West,Lagos,Surulere,College of Education,Other College of Education Admissions - Lagos 1,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,26,23
2023/2024,South West,Lagos,Surulere,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,3,3
2023/2024,North Central,Nasarawa,Akwanga,College of Education,Other College of Education Admissions - Nasarawa 1,Female,disabled,Non-STEMM,Education,Social Studies Education,7,7
2023/2024,North Central,Nasarawa,Akwanga,College of Education,Other College of Education Admissions - Nasarawa 1,Female,disabled,STEMM,Physical Sciences,Industrial Chemistry,2,2
2023/2024,North Central,Nasarawa,Doma,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Nasarawa,Doma,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Nasarawa,Keffi,Polytechnic,Other Polytechnic Admissions - Nasarawa 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Nasarawa,Keffi,Polytechnic,Other Polytechnic Admissions - Nasarawa 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,3,3
2023/2024,North Central,Nasarawa,Keffi,University,"Ave-Maria University, Piyanko, Nasarawa State",Female,disabled,STEMM,Medicine / Health Sciences,Radiography,1,1
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Female,disabled,Non-STEMM,ART,Law,10,9
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Female,disabled,Non-STEMM,ART,Theatre Arts,3,3
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Female,disabled,STEMM,Physical Sciences,Physics,1,0
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Female,disabled,Non-STEMM,ART,Law,9,9
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Female,disabled,Non-STEMM,ART,Theatre Arts,3,3
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Female,disabled,STEMM,Physical Sciences,Physics,0,0
2023/2024,North Central,Nasarawa,Akwanga,College of Education,Other College of Education Admissions - Nasarawa 1,Male,disabled,Non-STEMM,Education,Social Studies Education,6,5
2023/2024,North Central,Nasarawa,Akwanga,College of Education,Other College of Education Admissions - Nasarawa 1,Male,disabled,STEMM,Physical Sciences,Industrial Chemistry,3,2
2023/2024,North Central,Nasarawa,Akwanga,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,0,0
2023/2024,North Central,Nasarawa,Doma,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Nasarawa,Doma,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,0,0
2023/2024,North Central,Nasarawa,Keffi,Polytechnic,Other Polytechnic Admissions - Nasarawa 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2023/2024,North Central,Nasarawa,Keffi,Polytechnic,Other Polytechnic Admissions - Nasarawa 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,4,4
2023/2024,North Central,Nasarawa,Keffi,University,"Ave-Maria University, Piyanko, Nasarawa State",Male,disabled,STEMM,Medicine / Health Sciences,Radiography,0,0
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Male,disabled,Non-STEMM,ART,Law,9,8
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Male,disabled,Non-STEMM,ART,Theatre Arts,3,2
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 1,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Male,disabled,Non-STEMM,ART,Law,8,7
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Male,disabled,Non-STEMM,ART,Theatre Arts,2,2
2023/2024,North Central,Nasarawa,Lafia,University,Other University Admissions - Nasarawa 2,Male,disabled,STEMM,Physical Sciences,Physics,1,1
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Female,disabled,STEMM,Mathematics / Statistics,Mathematics,74,68
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,4,4
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Female,disabled,STEMM,Medicine / Health Sciences,Nursing Science,248,227
2023/2024,North Central,Niger,Kontagora,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,2,2
2023/2024,North Central,Niger,Kontagora,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,2,2
2023/2024,North Central,Niger,Kontagora,Polytechnic,Other Polytechnic Admissions - Niger 1,Female,disabled,STEMM,Engineering,Petroleum Engineering,78,73
2023/2024,North Central,Niger,Suleja,College of Education,Other College of Education Admissions - Niger 1,Female,disabled,STEMM,Physical Sciences,Industrial Chemistry,49,45
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Male,disabled,STEMM,Mathematics / Statistics,Mathematics,116,108
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,3,3
2023/2024,North Central,Niger,Chanchaga,University,Other University Admissions - Niger 1,Male,disabled,STEMM,Medicine / Health Sciences,Nursing Science,217,199
2023/2024,North Central,Niger,Kontagora,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,5,5
2023/2024,North Central,Niger,Kontagora,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Quantity Surveying,3,3
2023/2024,North Central,Niger,Kontagora,Polytechnic,Other Polytechnic Admissions - Niger 1,Male,disabled,STEMM,Engineering,Petroleum Engineering,134,123
2023/2024,North Central,Niger,Suleja,College of Education,Other College of Education Admissions - Niger 1,Male,disabled,STEMM,Physical Sciences,Industrial Chemistry,75,68
2023/2024,South West,Ogun,Abeokuta North,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,4
2023/2024,South West,Ogun,Abeokuta North,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,4,3
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Female,disabled,Non-STEMM,ART,Theatre Arts,8,8
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Female,disabled,Non-STEMM,Social Sciences,Mass Communication,67,62
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Female,disabled,STEMM,Computing / ICT,Cyber Security,21,19
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Female,disabled,STEMM,Medicine / Health Sciences,Nursing Science,19,18
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 2,Female,disabled,Non-STEMM,ART,Theatre Arts,8,8
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 2,Female,disabled,Non-STEMM,Social Sciences,Mass Communication,67,62
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 2,Female,disabled,STEMM,Computing / ICT,Cyber Security,20,19
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 2,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 2,Female,disabled,STEMM,Medicine / Health Sciences,Nursing Science,19,18
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 3,Female,disabled,Non-STEMM,ART,Theatre Arts,8,7
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 3,Female,disabled,Non-STEMM,Social Sciences,Mass Communication,67,62
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 3,Female,disabled,STEMM,Computing / ICT,Cyber Security,20,19
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 3,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 3,Female,disabled,STEMM,Medicine / Health Sciences,Nursing Science,19,17
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 4,Female,disabled,Non-STEMM,ART,Theatre Arts,8,7
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 4,Female,disabled,Non-STEMM,Social Sciences,Mass Communication,66,62
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 4,Female,disabled,STEMM,Computing / ICT,Cyber Security,20,19
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 4,Female,disabled,STEMM,Medicine / Health Sciences,Nursing Science,19,17
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 1,Female,disabled,Non-STEMM,Social Sciences,Library and Information Science,27,25
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 1,Female,disabled,STEMM,Environmental Sciences,Quantity Surveying,1,1
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,4
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 1,Female,disabled,STEMM,Technology / ICT,Information Technology,42,38
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 2,Female,disabled,Non-STEMM,Social Sciences,Library and Information Science,27,25
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,4,3
2023/2024,South West,Ogun,Abeokuta South,Polytechnic,Other Polytechnic Admissions - Ogun 2,Female,disabled,STEMM,Technology / ICT,Information Technology,42,38
2023/2024,South West,Ogun,Ijebu Ode,College of Education,Other College of Education Admissions - Ogun 1,Female,disabled,Non-STEMM,Education,Educational Management,98,91
2023/2024,South West,Ogun,Ijebu Ode,College of Education,Other College of Education Admissions - Ogun 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,8,7
2023/2024,South West,Ogun,Ijebu Ode,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2023/2024,South West,Ogun,Ijebu Ode,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2023/2024,South West,Ogun,Remo North,School of Health,"School of Nursing, University of Benin, Edo State",Female,disabled,STEMM,Medicine / Health Sciences,Physiology,1,1
2023/2024,South West,Ogun,Abeokuta North,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,6,5
2023/2024,South West,Ogun,Abeokuta North,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Male,disabled,Non-STEMM,ART,Theatre Arts,7,7
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Male,disabled,Non-STEMM,Social Sciences,Mass Communication,64,59
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Male,disabled,STEMM,Computing / ICT,Cyber Security,29,26
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,1,1
2023/2024,South West,Ogun,Abeokuta North,University,Other University Admissions - Ogun 1,Male,disabled,STEMM,Medicine / Health Sciences,Nursing Science,14,13
