session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Engineering,Electrical Engineering,18,14,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Engineering,Mechanical Engineering,18,14,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Engineering,Mechatronics Engineering,26,22,21
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Engineering,Petroleum Engineering,27,23,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Health Sciences,Pharmacy,18,13,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Mathematics / Statistics,Actuarial Science,23,20,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Mathematics / Statistics,Applied Mathematics,22,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Mathematics / Statistics,Mathematics,18,15,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Mathematics / Statistics,Operations Research,27,23,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Mathematics / Statistics,Statistics,21,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Medicine / Health Sciences,Anatomy,27,21,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Medicine / Health Sciences,Medical Laboratory Science,17,13,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Medicine / Health Sciences,Medicine and Surgery,13,11,10
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Medicine / Health Sciences,Physiotherapy,24,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Physical Sciences,Microbiology,23,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Science,Chemistry,18,15,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Science,Geology,23,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Science,Physics,21,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Science,Plant Science,22,17,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Technology / ICT,Cybersecurity,21,17,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Technology / ICT,Data Science,23,19,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,all,STEMM,Technology / ICT,Information Systems,24,20,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Arts,English and Literary Studies,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Arts,Law,2,2,2
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Arts / Humanities,Religious Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Business / Administration / Law,Insurance,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Business / Administration / Law,Marketing,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Communication / Media,Broadcasting,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Communication / Media,Development Communication,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Communication / Media,Public Relations,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Education,Adult Education,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Education,Curriculum Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Education,Educational Management,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Education,Primary Education Studies,2,2,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Languages,English Language,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Languages,Igbo,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Languages,Linguistics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Languages,Yoruba,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Accounting,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Criminology,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,International Relations,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Mass Communication,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,Non-STEMM,Social Sciences,Public Administration,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Biological Sciences,Biochemistry,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Computing / ICT,Computer Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Chemical Engineering,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Civil Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Mechatronics Engineering,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Engineering,Petroleum Engineering,2,2,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Health Sciences,Pharmacy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Mathematics / Statistics,Mathematics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Mathematics / Statistics,Operations Research,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Mathematics / Statistics,Statistics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Medicine / Health Sciences,Medical Laboratory Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Medicine / Health Sciences,Physiotherapy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Science,Chemistry,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Science,Geology,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Science,Physics,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Science,Plant Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Technology / ICT,Cybersecurity,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Technology / ICT,Data Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Female,disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Arts,English and Literary Studies,17,13,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Arts,Law,27,22,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Arts / Humanities,Fine and Applied Arts,23,20,17
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Arts / Humanities,History and International Studies,23,19,17
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Arts / Humanities,Religious Studies,26,21,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Business / Administration / Law,Insurance,32,25,24
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Business / Administration / Law,Marketing,25,20,17
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Communication / Media,Broadcasting,22,17,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Communication / Media,Development Communication,20,16,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Communication / Media,Journalism and Media Studies,15,12,10
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Communication / Media,Public Relations,20,16,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Education,Adult Education,20,17,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Education,Curriculum Studies,28,21,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Education,Educational Management,19,15,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Education,Primary Education Studies,26,21,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Languages,English Language,15,13,11
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Languages,Igbo,21,16,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Languages,Linguistics,19,15,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Languages,Yoruba,22,17,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Accounting,18,14,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Banking and Finance,26,22,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Criminology,27,20,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Economics,15,13,11
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Geography,24,20,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,International Relations,26,22,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Mass Communication,15,12,11
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Psychology,24,21,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,Non-STEMM,Social Sciences,Public Administration,26,21,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Biological Sciences,Biochemistry,20,16,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Computing / ICT,Computer Science,20,15,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Chemical Engineering,23,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Civil Engineering,18,16,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Electrical Engineering,19,15,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Mechanical Engineering,20,15,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Mechatronics Engineering,26,22,21
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Engineering,Petroleum Engineering,23,20,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Health Sciences,Pharmacy,19,14,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Mathematics / Statistics,Actuarial Science,26,21,20
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Mathematics / Statistics,Applied Mathematics,26,20,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Mathematics / Statistics,Mathematics,22,17,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Mathematics / Statistics,Operations Research,25,22,21
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Mathematics / Statistics,Statistics,22,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Medicine / Health Sciences,Anatomy,22,17,15
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Medicine / Health Sciences,Medical Laboratory Science,18,13,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Medicine / Health Sciences,Medicine and Surgery,15,13,12
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Medicine / Health Sciences,Physiotherapy,24,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Physical Sciences,Microbiology,19,15,13
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Science,Chemistry,24,20,17
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Science,Geology,24,20,19
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Science,Physics,19,15,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Science,Plant Science,22,18,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Technology / ICT,Cybersecurity,20,16,14
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Technology / ICT,Data Science,24,19,16
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,all,STEMM,Technology / ICT,Information Systems,24,21,18
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Arts,English and Literary Studies,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Arts,Law,2,2,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Arts / Humanities,Religious Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Business / Administration / Law,Insurance,2,2,2
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Business / Administration / Law,Marketing,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Communication / Media,Broadcasting,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Communication / Media,Development Communication,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Communication / Media,Public Relations,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Education,Adult Education,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Education,Curriculum Studies,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Education,Educational Management,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Education,Primary Education Studies,2,2,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Languages,English Language,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Languages,Igbo,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Languages,Linguistics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Languages,Yoruba,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Accounting,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Criminology,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,International Relations,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Mass Communication,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,Non-STEMM,Social Sciences,Public Administration,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Biological Sciences,Biochemistry,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Computing / ICT,Computer Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Chemical Engineering,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Civil Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Mechatronics Engineering,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Engineering,Petroleum Engineering,2,2,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Health Sciences,Pharmacy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Mathematics / Statistics,Actuarial Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Mathematics / Statistics,Mathematics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Mathematics / Statistics,Statistics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Medicine / Health Sciences,Medical Laboratory Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Medicine / Health Sciences,Physiotherapy,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Physical Sciences,Microbiology,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Science,Chemistry,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Science,Geology,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Science,Physics,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Science,Plant Science,1,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Technology / ICT,Cybersecurity,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Technology / ICT,Data Science,2,1,1
2023/2024,North East,Adamawa,Yola North,University,"Modibbo Adama University, Yola",Male,disabled,STEMM,Technology / ICT,Information Systems,2,2,1
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Arts,Law,14,11,10
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Business / Administration / Law,Insurance,12,10,9
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Communication / Media,Broadcasting,12,10,9
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Communication / Media,Journalism and Media Studies,9,7,7
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Communication / Media,Public Relations,10,8,7
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Social Sciences,Accounting,10,7,7
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Social Sciences,Business Administration,12,10,9
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Social Sciences,Mass Communication,7,6,6
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,Non-STEMM,Social Sciences,Public Administration,12,10,9
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Engineering,Chemical Engineering,13,11,10
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Engineering,Civil Engineering,9,7,7
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Engineering,Mechanical Engineering,9,8,7
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Engineering,Petroleum Engineering,11,9,8
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Mathematics / Statistics,Actuarial Science,14,11,10
2023/2024,North East,Adamawa,Yola South,Polytechnic,Adamawa State Polytechnic,Female,all,STEMM,Mathematics / Statistics,Applied Mathematics,12,10,9
